Land;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH
Zahl der Prüfungen;52.400;43.564;16.501;8.419;3.372;9.837;26.359;4.393;35.227;88.912;17.380;3.961;11.324;5.412;13.233;6.369
- bestanden;51.101;42.032;15.876;8.062;3.235;9.451;25.574;4.092;33.770;86.347;16.969;3.875;11.037;5.157;12.751;6.234
- nicht bestanden (abs.);1.299;1.532;625;357;137;386;785;301;1.457;2.565;411;86;287;255;482;135
- nicht bestanden (%);2,5;3,5;3,8;4,2;4,1;3,9;3,0;6,9;4,1;2,9;2,4;2,2;2,5;4,7;3,6;2,1
Notenmittel;2,44;2,31;2,39;2,30;2,45;2,43;2,43;2,34;2,59;2,47;2,52;2,38;2,32;2,39;2,52;2,16
Note;Häufigkeit;;;;;;;;;;;;;;;
1,0;655;790;252;176;65;158;419;87;264;1.280;178;70;159;82;112;193
1,1;459;492;196;87;35;110;269;57;186;823;137;42;123;46;91;130
1,2;664;689;242;143;52;140;355;81;302;1.170;195;56;185;99;132;163
1,3;841;912;299;183;70;156;465;87;366;1.426;232;62;241;94;146;193
1,4;1.026;1.035;367;243;70;201;556;105;499;1.642;287;63;273;126;202;261
1,5;1.222;1.262;461;240;77;245;696;149;602;2.000;359;100;357;146;267;236
1,6;1.402;1.455;465;313;88;267;732;105;715;2.359;420;115;368;152;285;257
1,7;1.688;1.655;555;306;84;307;831;160;796;2.654;481;149;456;167;361;309
1,8;1.825;1.867;587;371;108;381;974;174;869;3.030;562;170;530;220;414;297
1,9;2.114;2.089;700;364;130;379;1.030;175;1.136;3.436;616;167;548;236;454;374
2,0;2.240;2.043;707;377;137;378;1.040;170;1.132;3.366;649;155;548;205;529;322
2,1;2.477;2.292;734;425;128;451;1.123;196;1.284;3.733;748;199;586;239;536;352
2,2;2.685;2.295;814;433;143;461;1.188;231;1.412;4.145;751;203;647;257;589;373
2,3;2.786;2.451;777;419;132;488;1.340;218;1.532;4.113;795;211;610;272;647;337
2,4;2.811;2.443;894;474;159;486;1.359;213;1.666;4.421;816;208;623;282;705;341
2,5;2.879;2.544;885;451;202;527;1.418;212;1.868;4.682;914;238;581;270;700;285
2,6;2.844;2.357;903;451;175;491;1.394;228;1.917;4.578;960;228;587;299;719;295
2,7;2.919;2.268;911;442;162;498;1.423;212;1.945;4.616;986;222;585;290;777;286
2,8;2.882;2.191;929;446;182;523;1.460;231;2.122;4.763;1.030;206;526;300;796;298
2,9;2.734;2.056;884;406;188;562;1.361;204;2.242;4.936;963;255;514;285;795;248
3,0;2.594;1.724;772;360;193;475;1.335;191;2.050;4.357;1.011;197;491;250;774;178
3,1;2.312;1.647;690;318;180;466;1.107;186;2.102;4.448;942;182;453;230;677;169
3,2;2.181;1.333;654;242;149;407;1.080;153;1.959;4.075;876;153;369;190;671;108
3,3;1.794;948;473;203;129;339;955;130;1.755;3.581;677;97;305;174;487;103
3,4;1.373;642;339;112;99;244;731;71;1.396;2.892;594;69;202;137;397;66
3,5;997;337;241;42;57;178;519;46;953;2.110;433;32;107;74;261;47
3,6;502;150;106;20;27;88;279;17;521;1.125;215;21;46;29;136;10
3,7;167;43;31;9;10;34;109;2;156;455;99;3;17;6;64;2
3,8;22;13;2;3;2;9;24;1;21;89;34;2;0;0;21;1
3,9;5;2;3;3;2;2;2;0;2;22;2;0;0;0;1;0
4,0;1;7;3;0;0;0;0;0;0;20;7;0;0;0;5;0
