Land;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH
Zahl der Prüfungen;49.486;42.764;13.459;7.493;3.242;8.873;32.609;3.595;33.012;126.757;17.254;3.578;8.517;4.353;12.293;5.262
- bestanden;48.105;41.355;12.755;7.172;3.071;8.592;31.679;3.363;31.602;123.896;17.035;3.471;8.269;4.133;11.796;5.136
- nicht bestanden (abs.);1.381;1.409;704;321;171;281;930;232;1.410;2.861;219;107;248;220;497;126
- nicht bestanden (%);2,8;3,3;5,2;4,3;5,3;3,2;2,9;6,5;4,3;2,3;1,3;3,0;2,9;5,1;4,0;2,4
Notenmittel;2,46;2,35;2,44;2,38;2,47;2,45;2,42;2,39;2,61;2,46;2,56;2,43;2,37;2,43;2,54;2,17
Note;Verteilung in %;;;;;;;;;;;;;;;
1,0;1,28;1,64;1,15;1,85;1,76;1,29;1,63;1,55;0,66;1,55;0,87;1,27;1,17;1,43;1,18;2,57
1,1;0,75;1,04;0,85;1,13;1,20;0,95;1,11;0,98;0,51;0,96;0,75;1,09;1,19;1,02;0,58;1,85
1,2;1,22;1,43;1,33;1,69;1,40;1,35;1,39;1,16;0,65;1,42;1,09;1,50;1,41;1,26;0,86;2,82
1,3;1,59;2,00;1,64;2,04;1,95;1,72;1,78;2,05;1,11;1,82;1,39;1,58;1,87;1,74;1,09;3,17
1,4;1,90;2,30;2,13;2,40;2,18;2,09;2,07;2,08;1,24;2,07;1,50;1,90;2,45;2,18;1,39;3,45
1,5;2,26;2,77;2,38;2,58;2,44;2,44;2,70;3,00;1,51;2,52;1,95;2,85;2,92;2,20;1,60;4,38
1,6;2,56;3,39;2,63;2,90;2,70;2,74;3,17;3,54;1,87;2,87;2,10;2,62;3,05;2,61;2,02;4,32
1,7;3,20;3,83;3,43;3,21;3,09;2,85;3,31;3,06;2,23;3,15;2,59;3,28;3,61;3,36;2,40;4,50
1,8;3,63;3,98;3,87;4,11;2,93;3,75;3,86;4,16;2,65;3,56;3,15;3,86;3,98;3,46;3,03;5,53
1,9;4,09;4,93;4,03;4,17;3,42;3,92;4,20;3,75;3,16;4,01;3,07;3,60;4,97;3,82;3,42;5,24
2,0;4,27;4,56;4,18;4,53;4,01;4,04;4,13;4,76;3,14;3,83;3,39;4,24;4,92;4,45;5,22;5,30
2,1;4,58;5,29;4,54;4,66;4,04;4,82;4,42;4,85;3,60;4,29;3,88;4,18;5,10;4,57;3,77;5,72
2,2;5,04;5,75;4,38;4,96;4,14;5,19;4,80;5,08;4,20;4,61;4,46;5,30;4,77;5,15;4,61;5,70
2,3;5,27;5,63;5,24;5,15;4,69;5,05;5,00;5,32;4,69;4,91;4,94;5,39;6,11;5,61;4,68;5,82
2,4;5,56;5,71;5,81;5,47;4,66;4,93;5,26;5,71;5,13;5,10;4,57;4,98;5,41;5,52;5,24;5,63
2,5;5,61;5,76;5,86;5,61;5,70;5,51;5,39;5,77;5,35;5,29;5,50;5,56;5,96;5,30;5,82;4,83
2,6;5,75;5,53;5,60;5,51;5,21;5,64;5,65;5,23;5,69;5,31;5,70;5,50;5,97;5,59;5,62;5,39
2,7;5,69;5,54;5,68;6,25;5,86;5,84;5,69;5,56;5,89;5,32;6,11;5,68;5,40;5,54;6,07;4,26
2,8;5,58;5,50;5,83;5,74;5,31;5,66;5,39;5,20;6,29;5,43;6,39;6,48;5,72;5,95;6,06;4,61
2,9;5,26;5,03;5,74;5,88;5,96;5,70;5,38;4,49;6,69;5,49;5,48;6,11;4,67;5,27;5,86;3,93
3,0;5,10;4,45;5,32;4,89;5,18;5,09;5,09;5,20;6,46;4,90;5,94;5,30;4,41;5,08;6,97;3,00
3,1;4,64;4,18;4,81;4,89;5,44;4,62;4,77;5,38;6,40;4,87;5,82;4,75;4,14;5,66;5,82;2,84
3,2;4,50;3,38;4,41;3,64;4,49;4,40;4,16;4,73;5,99;4,49;5,21;4,55;3,59;4,67;4,95;1,73
3,3;3,90;2,72;3,42;3,18;5,18;3,50;3,40;3,48;5,54;4,13;4,51;3,92;3,08;4,02;4,10;1,62
3,4;3,02;1,87;2,69;1,98;2,96;2,97;2,78;2,08;4,31;3,41;3,62;2,91;2,00;2,44;3,22;1,11
3,5;2,21;1,11;2,23;1,00;2,28;2,20;1,97;1,10;3,00;2,45;3,05;1,15;1,12;1,57;2,14;0,49
3,6;1,14;0,48;0,64;0,49;1,40;1,15;1,04;0,51;1,44;1,42;1,77;0,29;0,60;0,39;1,34;0,18
3,7;0,35;0,13;0,14;0,08;0,29;0,50;0,40;0,15;0,49;0,64;0,92;0,12;0,23;0,12;0,57;0,00
3,8;0,05;0,06;0,03;0,00;0,07;0,05;0,08;0,03;0,11;0,15;0,21;0,03;0,09;0,00;0,23;0,00
3,9;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,03;0,01;0,02;0,05;0,00;0,05;0,00;0,06;0,00
4,0;0,00;0,00;0,01;0,00;0,07;0,02;0,00;0,00;0,00;0,02;0,02;0,00;0,05;0,00;0,08;0,00
