Land;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH
Zahl der Prüfungen;49.486;42.764;13.459;7.493;3.242;8.873;32.609;3.595;33.012;126.757;17.254;3.578;8.517;4.353;12.293;5.262
- bestanden;48.105;41.355;12.755;7.172;3.071;8.592;31.679;3.363;31.602;123.896;17.035;3.471;8.269;4.133;11.796;5.136
- nicht bestanden (abs.);1.381;1.409;704;321;171;281;930;232;1.410;2.861;219;107;248;220;497;126
- nicht bestanden (%);2,8;3,3;5,2;4,3;5,3;3,2;2,9;6,5;4,3;2,3;1,3;3,0;2,9;5,1;4,0;2,4
Notenmittel;2,46;2,35;2,44;2,38;2,47;2,45;2,42;2,39;2,61;2,46;2,56;2,43;2,37;2,43;2,54;2,17
Note;Häufigkeit;;;;;;;;;;;;;;;
1,0;616;678;147;133;54;111;516;52;210;1.918;148;44;97;59;139;132
1,1;362;431;109;81;37;82;351;33;162;1.193;127;38;98;42;68;95
1,2;588;592;170;121;43;116;439;39;204;1.758;185;52;116;52;101;145
1,3;765;828;209;146;60;148;565;69;350;2.254;237;55;154;72;129;163
1,4;915;953;272;172;67;180;655;70;391;2.563;256;66;202;90;164;177
1,5;1.088;1.147;304;185;75;210;854;101;478;3.117;333;99;242;91;189;225
1,6;1.230;1.404;336;208;83;235;1.003;119;591;3.552;357;91;253;108;238;222
1,7;1.538;1.582;438;230;95;245;1.048;103;706;3.907;442;114;299;139;283;231
1,8;1.744;1.647;493;295;90;322;1.222;140;837;4.412;536;134;329;143;358;284
1,9;1.966;2.040;514;299;105;337;1.329;126;1.000;4.968;523;125;411;158;403;269
2,0;2.053;1.885;533;325;123;347;1.307;160;992;4.750;578;147;407;184;616;272
2,1;2.203;2.186;579;334;124;414;1.399;163;1.139;5.311;661;145;422;189;445;294
2,2;2.425;2.377;559;356;127;446;1.522;171;1.326;5.711;760;184;394;213;544;293
2,3;2.537;2.327;668;369;144;434;1.584;179;1.482;6.086;841;187;505;232;552;299
2,4;2.676;2.363;741;392;143;424;1.665;192;1.621;6.313;778;173;447;228;618;289
2,5;2.699;2.382;747;402;175;473;1.709;194;1.692;6.560;937;193;493;219;687;248
2,6;2.767;2.288;714;395;160;485;1.790;176;1.797;6.580;971;191;494;231;663;277
2,7;2.735;2.290;725;448;180;502;1.801;187;1.862;6.586;1.041;197;447;229;716;219
2,8;2.685;2.276;743;412;163;486;1.708;175;1.987;6.727;1.089;225;473;246;715;237
2,9;2.532;2.080;732;422;183;490;1.704;151;2.113;6.798;933;212;386;218;691;202
3,0;2.453;1.842;678;351;159;437;1.611;175;2.042;6.065;1.012;184;365;210;822;154
3,1;2.232;1.730;613;351;167;397;1.511;181;2.022;6.039;991;165;342;234;686;146
3,2;2.164;1.396;563;261;138;378;1.318;159;1.893;5.562;888;158;297;193;584;89
3,3;1.876;1.123;436;228;159;301;1.078;117;1.750;5.123;769;136;254;166;484;83
3,4;1.452;772;343;142;91;255;880;70;1.362;4.220;616;101;165;101;380;57
3,5;1.065;458;284;72;70;189;624;37;947;3.034;520;40;93;65;253;25
3,6;548;199;82;35;43;99;331;17;454;1.756;301;10;50;16;158;9
3,7;167;54;18;6;9;43;127;5;155;795;157;4;19;5;67;0
3,8;22;25;4;0;2;4;26;1;34;192;36;1;8;0;27;0
3,9;1;0;0;1;0;0;2;1;3;27;8;0;4;0;7;0
4,0;1;0;1;0;2;2;0;0;0;19;4;0;4;0;9;0
