,bw_Relation,bay_Relation,ber_Relation,bra_Relation,bre_Relation,hh_Relation,he_Relation,mvp_Relation,ni_Relation,nrw_Relation,rp_Relation,saar_Relation,sachs_Relation,sachs_an_Relation,sh_Relation,thue_Relation
2010,27.713582580918544,25.745650074240658,39.80566905826711,46.540880503144656,34.881602914389795,59.01226191053167,29.48220635340445,33.80035026269702,28.590891397430905,32.43420809120184,30.450258053034347,30.69711778198863,29.905613512170888,26.86595582635187,29.235363653331675,36.56179176109852
2011,29.079699124501623,40.46979747475044,40.07499493277481,40.50257341810475,36.02468824789016,50.60631114785724,30.89889343641049,32.363712462069685,40.97012746910577,34.64952365458139,31.005517396689562,31.54129190515127,29.083144500610075,26.827100567443768,27.90372515729552,32.25950782997763
2012,42.57945475870355,26.65163259830758,48.66804732049136,46.815631459789344,44.31403828623519,51.76932286816549,32.71933784800602,32.15629522431259,30.508823495774102,36.73929802821698,31.387419826713174,31.403631985552323,28.755165724888254,27.31958762886598,29.455327281414238,33.01796846351302
2013,27.976333319541563,27.47648559970835,40.23026315789473,37.277318386147954,36.41975308641975,57.89473684210527,38.18049842729253,31.545532076186866,29.83381327412136,46.189860523428926,32.08274816647718,31.054552628982933,28.20355374755344,26.668493901603398,30.48975779008474,30.529783514858146
2014,28.036890865915247,27.5128248285754,41.10218905141105,35.68289198989122,36.979028404565966,54.615433959843486,36.947996589940324,33.28510715254544,30.63398430788615,37.4928345721825,31.13944878650761,33.04526748971193,29.405858940801032,27.03595477067717,30.93461030383091,31.396809446049488
2015,29.094884707129605,28.437850642064582,40.66687938736439,36.010934202954154,38.19338422391858,54.71130110181227,35.260982654347586,35.367579718591294,32.52569750367107,38.57396695412012,32.98215487434154,36.83820415078357,32.27896341463415,29.017724820676982,33.137528209212796,33.69552094651696
2016,29.075781236881433,27.81543423042895,45.45161602165437,37.714829802428,40.48913043478261,55.594900849858355,32.276617281678476,35.65231234577728,32.74995544466227,39.18188847246778,36.316532118155955,34.57914572864322,31.41084258654474,29.16477787851315,45.50220453812238,34.59900845727618
2017,29.989842335379585,28.712420173872143,46.58078831396961,41.8714600009362,37.08154506437768,52.712002799486754,32.52152367211881,35.768360259111844,32.44921472318234,38.55198113925014,35.64905955741088,33.44184027777778,32.839616044752404,29.337126600284495,36.51419558359621,32.98951349492866
2018,30.513801207317638,28.638602609674123,45.267689519000456,40.69381737768359,35.97816960537364,52.3442480440452,33.26557281835342,35.97016027771623,32.7227423552776,39.64153955115805,35.41367423154266,34.87744304070834,32.920163966425925,30.34825870646766,34.93712411153636,32.560524067217315
2019,29.942658394435046,28.457952925767554,43.635841103589215,40.08039725703476,36.03548485775466,53.4238310708899,31.59884737745057,35.24743580145242,33.78316017909926,39.396054050624876,36.5768896611642,34.056007226738934,32.78068461199017,28.942578189640905,36.152576184907474,32.69093895428415
2020,28.499903530773686,27.896251690015845,44.581449067898625,39.53791240594251,35.699286014279714,52.703586937124506,32.02480035043973,37.145307140629875,9.084566006140106,40.756870400961105,37.698507700901764,35.35526616403929,32.19523010166915,29.47157859643274,36.331339496102956,32.77507859388397
2021,28.53173647889584,28.9285773593052,43.34822418654754,39.45923689267087,35.863539445629,55.55487730435844,27.79639604863755,33.89042943865697,33.39840423441246,39.46623093681917,37.08993470173522,36.97441601779755,31.643052448421578,28.178288029714672,37.07727150589229,31.181875249671858
