Land;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH
Zahl der Prüfungen;47.635;39.196;13.614;10.268;3.017;13.087;23.119;5.802;31.561;76.662;15.887;3.386;9.167;5.236;10.699;6.648
- bestanden;46.277;38.840;12.955;9.916;2.904;12.733;22.554;5.581;30.296;75.049;15.710;3.315;8.830;4.850;10.590;6.536
- nicht bestanden (abs.);1.358;356;659;352;113;354;565;221;1.265;1.613;177;71;337;386;109;112
- nicht bestanden (%);2,9;0,9;4,8;3,4;3,7;2,7;2,4;3,8;4,0;2,1;1,1;2,1;3,7;7,4;1,0;1,7
Notenmittel;2,44;2,40;2,48;2,40;2,45;2,49;2,44;2,43;2,62;2,56;2,60;2,46;2,45;2,52;2,60;2,30
Note;Häufigkeit;;;;;;;;;;;;;;;
1,0;591;353;125;156;31;141;281;63;193;763;130;45;72;40;56;121
1,1;371;343;96;125;20;111;221;49;150;603;144;24;47;41;49;109
1,2;555;446;126;145;40;148;294;58;220;847;128;34;93;60;51;126
1,3;722;665;211;190;57;190;403;97;329;1.059;159;52;134;77;110;153
1,4;942;747;225;236;77;241;423;101;387;1.198;209;56;166;85;128;192
1,5;1.141;963;254;323;90;317;531;125;481;1.521;298;67;192;112;161;216
1,6;1.252;1.106;330;284;80;330;611;157;583;1.789;324;84;233;129;183;266
1,7;1.514;1.362;378;350;100;365;704;174;718;2.070;394;94;319;147;256;266
1,8;1.716;1.581;446;348;104;427;798;214;853;2.270;457;124;319;148;281;276
1,9;1.983;1.720;482;400;114;507;836;230;898;2.467;451;134;389;146;271;300
2,0;2.008;1.863;528;474;110;505;917;276;955;2.594;578;134;383;163;413;315
2,1;2.186;2.040;584;448;120;532;1.056;264;1.075;2.967;564;139;414;199;385;319
2,2;2.448;2.251;707;489;156;599;1.168;276;1.213;3.231;694;184;465;221;447;333
2,3;2.490;2.258;657;476;148;667;1.237;323;1.338;3.453;706;166;502;227;574;395
2,4;2.547;2.215;706;527;136;624;1.226;293;1.465;3.595;700;195;530;231;612;318
2,5;2.708;2.430;770;515;158;693;1.274;324;1.617;3.891;804;195;492;254;626;372
2,6;2.636;2.304;790;555;137;743;1.381;345;1.706;4.018;858;202;506;272;648;331
2,7;2.614;2.282;814;545;157;709;1.342;323;1.782;4.020;935;206;494;268;655;364
2,8;2.575;2.167;770;546;164;735;1.274;338;1.871;4.254;953;200;518;311;702;321
2,9;2.536;2.015;790;518;151;614;1.200;306;1.978;4.291;904;156;465;291;643;291
3,0;2.318;1.655;700;545;156;713;1.221;310;1.921;4.102;964;200;480;269;681;256
3,1;2.261;1.614;670;444;139;663;1.086;245;1.924;4.169;926;170;491;302;589;275
3,2;1.900;1.369;590;413;139;613;974;250;1.812;3.987;925;160;403;275;577;223
3,3;1.587;1.070;507;378;127;540;819;189;1.609;3.638;794;132;319;256;514;155
3,4;1.213;809;341;238;69;412;594;127;1.381;2.881;712;80;216;157;389;118
3,5;851;639;209;160;66;313;408;84;992;2.601;501;63;110;109;321;81
3,6;447;359;113;65;36;198;195;29;580;1.656;305;13;52;50;174;27
3,7;142;164;30;18;15;64;69;11;224;840;139;5;19;9;64;15
3,8;19;36;6;4;5;15;11;0;39;239;36;1;2;1;21;2
3,9;3;6;0;1;1;4;0;0;2;23;3;0;2;0;5;0
4,0;1;8;0;0;1;0;0;0;0;12;15;0;3;0;4;0
