Land;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH
Zahl der Prüfungen;47.635;39.196;13.614;10.268;3.017;13.087;23.119;5.802;31.561;76.662;15.887;3.386;9.167;5.236;10.699;6.648
- bestanden;46.277;38.840;12.955;9.916;2.904;12.733;22.554;5.581;30.296;75.049;15.710;3.315;8.830;4.850;10.590;6.536
- nicht bestanden (abs.);1.358;356;659;352;113;354;565;221;1.265;1.613;177;71;337;386;109;112
- nicht bestanden (%);2,9;0,9;4,8;3,4;3,7;2,7;2,4;3,8;4,0;2,1;1,1;2,1;3,7;7,4;1,0;1,7
Notenmittel;2,44;2,40;2,48;2,40;2,45;2,49;2,44;2,43;2,62;2,56;2,60;2,46;2,45;2,52;2,60;2,30
Note;Verteilung in %;;;;;;;;;;;;;;;
1,0;1,28;0,91;0,96;1,57;1,07;1,11;1,25;1,13;0,64;1,02;0,83;1,36;0,82;0,82;0,53;1,85
1,1;0,80;0,88;0,74;1,26;0,69;0,87;0,98;0,88;0,50;0,80;0,92;0,72;0,53;0,85;0,46;1,67
1,2;1,20;1,15;0,97;1,46;1,38;1,16;1,30;1,04;0,73;1,13;0,81;1,03;1,05;1,24;0,48;1,93
1,3;1,56;1,71;1,63;1,92;1,96;1,49;1,79;1,74;1,09;1,41;1,01;1,57;1,52;1,59;1,04;2,34
1,4;2,04;1,92;1,74;2,38;2,65;1,89;1,88;1,81;1,28;1,60;1,33;1,69;1,88;1,75;1,21;2,94
1,5;2,47;2,48;1,96;3,26;3,10;2,49;2,35;2,24;1,59;2,03;1,90;2,02;2,17;2,31;1,52;3,30
1,6;2,71;2,85;2,55;2,86;2,75;2,59;2,71;2,81;1,92;2,38;2,06;2,53;2,64;2,66;1,73;4,07
1,7;3,27;3,51;2,92;3,53;3,44;2,87;3,12;3,12;2,37;2,76;2,51;2,84;3,61;3,03;2,42;4,07
1,8;3,71;4,07;3,44;3,51;3,58;3,35;3,54;3,83;2,82;3,02;2,91;3,74;3,61;3,05;2,65;4,22
1,9;4,29;4,43;3,72;4,03;3,93;3,98;3,71;4,12;2,96;3,29;2,87;4,04;4,41;3,01;2,56;4,59
2,0;4,34;4,80;4,08;4,78;3,79;3,97;4,07;4,95;3,15;3,46;3,68;4,04;4,34;3,36;3,90;4,82
2,1;4,72;5,25;4,51;4,52;4,13;4,18;4,68;4,73;3,55;3,95;3,59;4,19;4,69;4,10;3,64;4,88
2,2;5,29;5,80;5,46;4,93;5,37;4,70;5,18;4,95;4,00;4,31;4,42;5,55;5,27;4,56;4,22;5,09
2,3;5,38;5,81;5,07;4,80;5,10;5,24;5,48;5,79;4,42;4,60;4,49;5,01;5,69;4,68;5,42;6,04
2,4;5,50;5,70;5,45;5,31;4,68;4,90;5,44;5,25;4,84;4,79;4,46;5,88;6,00;4,76;5,78;4,87
2,5;5,85;6,26;5,94;5,19;5,44;5,44;5,65;5,81;5,34;5,18;5,12;5,88;5,57;5,24;5,91;5,69
2,6;5,70;5,93;6,10;5,60;4,72;5,84;6,12;6,18;5,63;5,35;5,46;6,09;5,73;5,61;6,12;5,06
2,7;5,65;5,88;6,28;5,50;5,41;5,57;5,95;5,79;5,88;5,36;5,95;6,21;5,59;5,53;6,19;5,57
2,8;5,56;5,58;5,94;5,51;5,65;5,77;5,65;6,06;6,18;5,67;6,07;6,03;5,87;6,41;6,63;4,91
2,9;5,48;5,19;6,10;5,22;5,20;4,82;5,32;5,48;6,53;5,72;5,75;4,71;5,27;6,00;6,07;4,45
3,0;5,01;4,26;5,40;5,50;5,37;5,60;5,41;5,55;6,34;5,47;6,14;6,03;5,44;5,55;6,43;3,92
3,1;4,89;4,16;5,17;4,48;4,79;5,21;4,82;4,39;6,35;5,56;5,89;5,13;5,56;6,23;5,56;4,21
3,2;4,11;3,52;4,55;4,16;4,79;4,81;4,32;4,48;5,98;5,31;5,89;4,83;4,56;5,67;5,45;3,41
3,3;3,43;2,75;3,91;3,81;4,37;4,24;3,63;3,39;5,31;4,85;5,05;3,98;3,61;5,28;4,85;2,37
3,4;2,62;2,08;2,63;2,40;2,38;3,24;2,63;2,28;4,56;3,84;4,53;2,41;2,45;3,24;3,67;1,81
3,5;1,84;1,65;1,61;1,61;2,27;2,46;1,81;1,51;3,27;3,47;3,19;1,90;1,25;2,25;3,03;1,24
3,6;0,97;0,92;0,87;0,66;1,24;1,56;0,86;0,52;1,91;2,21;1,94;0,39;0,59;1,03;1,64;0,41
3,7;0,31;0,42;0,23;0,18;0,52;0,50;0,31;0,20;0,74;1,12;0,88;0,15;0,22;0,19;0,60;0,23
3,8;0,04;0,09;0,05;0,04;0,17;0,12;0,05;0,00;0,13;0,32;0,23;0,03;0,02;0,02;0,20;0,03
3,9;0,01;0,02;0,00;0,01;0,03;0,03;0,00;0,00;0,01;0,03;0,02;0,00;0,02;0,00;0,05;0,00
4,0;0,00;0,02;0,00;0,00;0,03;0,00;0,00;0,00;0,00;0,02;0,10;0,00;0,03;0,00;0,04;0,00
