Land;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH
Zahl der Prüfungen;43.507;40.698;14.412;9.801;2.762;9.351;19.475;5.240;30.963;82.046;16.867;3.537;12.968;5.580;12.282;6.389
- bestanden;42.464;39.463;13.939;9.361;2.635;9.144;18.835;4.948;30.065;79.618;16.359;3.416;12.610;5.361;11.795;6.279
- nicht bestanden (abs.);1.043;1.235;473;440;127;207;640;292;898;2.428;508;121;358;219;487;110
- nicht bestanden (%);2,4;3,0;3,3;4,5;4,6;2,2;3,3;5,6;2,9;3,0;3,0;3,4;2,8;3,9;4,0;1,7
Notenmittel;2,23;2,18;2,24;2,17;2,32;2,27;2,25;2,21;2,38;2,36;2,48;2,26;2,12;2,25;2,41;2,06
Note;Häufigkeit;;;;;;;;;;;;;;;
1,0;1.588;1.288;483;346;75;267;795;185;657;2.423;215;137;465;171;208;311
1,1;832;774;280;192;52;195;338;98;402;1.277;166;69;280;96;137;173
1,2;1.067;1.052;361;236;54;211;462;119;502;1.621;215;83;373;109;180;215
1,3;1.225;1.135;392;289;67;249;533;131;648;1.891;266;103;453;131;215;231
1,4;1.352;1.255;442;310;84;269;562;170;705;2.066;319;83;502;173;286;258
1,5;1.555;1.565;478;371;79;341;679;178;802;2.295;400;106;545;168;297;314
1,6;1.687;1.655;558;406;90;352;708;194;923;2.539;463;115;562;225;369;343
1,7;1.790;1.885;623;429;99;380;736;217;1.053;2.888;502;150;646;223;383;300
1,8;1.914;1.888;644;454;106;360;873;227;1.168;2.971;548;152;672;255;447;330
1,9;2.058;2.080;671;501;105;445;849;257;1.274;3.317;641;153;705;244;457;337
2,0;2.052;2.049;608;479;97;435;847;251;1.213;3.223;680;139;686;273;615;361
2,1;2.113;2.241;702;493;118;436;887;247;1.364;3.549;670;168;737;284;507;318
2,2;2.171;2.274;685;526;133;494;916;252;1.409;3.723;708;175;679;277;601;328
2,3;2.147;2.239;743;489;130;422;977;256;1.576;3.877;796;148;675;281;604;347
2,4;2.219;2.240;687;494;148;471;905;248;1.671;3.987;825;176;696;255;573;346
2,5;2.112;2.102;627;547;138;479;933;274;1.625;4.020;843;182;610;295;664;294
2,6;2.062;1.969;665;484;136;480;920;255;1.658;4.078;842;167;576;278;638;251
2,7;1.904;1.908;673;461;141;449;970;247;1.601;4.016;919;176;548;275;673;261
2,8;1.978;1.783;643;396;131;410;850;254;1.578;3.886;894;189;507;264;661;250
2,9;1.743;1.536;577;380;124;398;862;243;1.602;4.134;867;170;410;249;611;199
3,0;1.617;1.353;569;349;128;350;733;198;1.463;3.624;883;154;388;212;577;170
3,1;1.444;1.067;511;257;112;332;697;159;1.272;3.490;882;109;331;196;511;129
3,2;1.244;821;456;193;105;324;601;126;1.185;3.095;778;126;240;173;463;93
3,3;1.015;597;368;134;73;261;468;89;1.044;2.888;697;88;164;144;409;61
3,4;779;365;249;84;55;158;345;41;805;2.139;603;46;93;71;317;33
3,5;456;204;149;47;37;105;224;24;519;1.498;382;32;50;29;212;18
3,6;222;96;67;10;12;57;107;5;250;725;244;11;16;7;105;6
3,7;86;30;27;3;4;13;53;1;83;280;75;9;1;3;44;2
3,8;21;11;1;0;1;1;5;0;11;83;23;0;0;0;22;0
3,9;11;1;0;1;0;0;0;2;0;10;9;0;0;0;3;0
4,0;0;0;0;0;1;0;0;0;2;5;4;0;0;0;6;0
