Land;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH
Zahl der Prüfungen;49.671;74.205;13.115;7.376;3.402;8.191;23.883;3.475;49.274;79.240;16.138;3.353;7.988;4.551;11.054;5.102
- bestanden;48.333;72.750;12.428;7.111;3.251;7.826;23.169;3.327;47.507;77.847;15.914;3.269;7.673;4.309;10.785;5.030
- nicht bestanden (abs.);1.338;1.455;687;265;151;365;714;148;1.767;1.393;224;84;315;242;269;72
- nicht bestanden (%);2,7;2,0;5,2;3,6;4,4;4,5;3,0;4,3;3,6;1,8;1,4;2,5;3,9;5,3;2,4;1,4
Notenmittel;2,44;2,37;2,45;2,38;2,47;2,49;2,43;2,42;2,59;2,54;2,60;2,44;2,43;2,48;2,52;2,20
Note;Verteilung in %;;;;;;;;;;;;;;;
1,0;1,36;1,27;1,36;1,91;1,78;1,21;1,37;1,38;0,61;1,25;0,85;1,44;1,11;1,11;0,87;2,35
1,1;0,89;0,97;0,88;1,34;1,11;0,88;1,12;1,05;0,49;0,93;0,94;0,95;0,89;0,88;0,52;1,95
1,2;1,21;1,40;1,18;1,80;1,35;1,12;1,42;1,53;0,72;1,10;0,81;1,22;0,86;1,32;0,83;2,43
1,3;1,60;1,92;1,78;2,33;2,34;1,38;1,66;1,71;1,00;1,50;1,01;1,74;1,69;1,39;0,96;2,78
1,4;1,93;2,24;1,82;2,33;2,12;1,84;2,05;2,28;1,35;1,74;1,33;2,02;1,86;1,81;1,33;3,50
1,5;2,44;2,85;2,45;2,46;2,21;2,36;2,58;3,07;1,72;2,21;1,91;1,90;2,59;2,53;2,14;3,82
1,6;2,83;3,26;2,49;2,88;3,05;2,67;2,88;2,83;1,87;2,59;2,07;2,94;2,74;2,90;2,23;4,19
1,7;3,36;3,98;3,16;3,85;2,86;2,73;3,44;3,01;2,59;2,86;2,55;2,94;3,31;3,20;2,88;4,81
1,8;3,73;4,19;3,47;3,88;3,63;3,48;3,66;3,70;2,75;3,22;2,95;3,21;3,94;3,27;2,92;4,71
1,9;4,26;4,92;3,90;4,19;3,51;4,15;3,80;3,88;3,14;3,46;2,89;4,01;4,34;3,88;3,71;5,47
2,0;4,40;4,65;4,06;4,42;4,21;4,09;4,08;4,78;3,45;3,61;3,69;3,98;4,44;4,04;3,60;5,39
2,1;4,61;5,32;4,59;4,67;4,64;4,03;4,66;4,21;3,96;4,04;3,61;4,83;4,74;4,53;4,41;5,43
2,2;5,16;5,63;4,86;4,95;3,84;4,06;4,77;5,26;4,34;4,50;4,38;4,53;5,51;5,01;5,39;5,63
2,3;5,38;5,66;5,07;5,01;4,28;5,03;5,21;5,26;4,66;4,63;4,51;5,32;4,81;4,87;5,41;5,37
2,4;5,48;5,77;5,89;4,56;4,46;5,28;5,18;4,69;5,08;4,59;4,47;6,36;5,71;4,85;5,66;5,47
2,5;5,72;5,82;5,81;5,54;5,23;5,62;5,95;5,71;5,42;5,07;5,11;5,29;5,75;4,94;6,43;5,47
2,6;5,69;5,66;5,75;5,16;4,83;5,62;5,70;6,04;6,02;5,26;5,45;5,63;6,18;5,62;6,02;5,33
2,7;5,41;5,45;6,09;6,06;5,54;5,65;5,89;5,68;5,99;5,63;5,94;5,93;5,38;5,31;6,18;4,59
2,8;5,60;5,06;6,22;5,29;5,97;5,87;5,68;5,59;6,30;5,64;6,05;6,45;5,70;5,85;6,42;4,83
2,9;5,36;4,83;5,67;5,29;4,86;5,84;5,14;5,23;6,60;5,28;5,72;5,69;5,45;5,48;6,14;3,82
3,0;5,00;4,34;5,48;5,02;5,69;5,74;5,03;5,35;6,23;5,47;6,10;5,84;5,56;5,57;5,60;3,38
3,1;4,58;3,75;5,05;4,54;5,29;5,37;4,94;5,02;6,02;5,23;5,88;5,38;4,80;6,08;5,57;2,82
3,2;4,28;3,33;4,43;4,46;4,92;5,03;4,43;4,12;5,57;5,20;5,87;4,31;4,44;5,08;4,89;2,37
3,3;3,64;2,69;3,75;3,49;4,40;3,88;3,43;3,88;5,19;4,66;5,04;3,67;3,61;4,43;3,57;1,83
3,4;2,84;1,99;2,40;2,26;3,72;3,30;2,60;2,43;4,16;3,72;4,54;2,32;2,24;2,81;3,13;1,27
3,5;1,87;1,41;1,45;1,43;2,28;2,02;1,86;1,23;2,81;3,18;3,18;1,16;1,64;2,14;1,77;0,74
3,6;0,98;0,87;0,68;0,63;1,05;1,21;0,93;0,63;1,42;2,05;1,95;0,67;0,55;0,91;0,85;0,20
3,7;0,34;0,52;0,20;0,17;0,49;0,40;0,44;0,42;0,45;1,03;0,87;0,24;0,13;0,19;0,37;0,08
3,8;0,05;0,15;0,06;0,06;0,22;0,12;0,08;0,03;0,08;0,29;0,23;0,00;0,03;0,00;0,09;0,00
3,9;0,01;0,06;0,00;0,01;0,03;0,01;0,01;0,00;0,00;0,05;0,02;0,00;0,00;0,00;0,01;0,00
4,0;0,00;0,04;0,00;0,00;0,09;0,00;0,00;0,00;0,00;0,02;0,09;0,00;0,00;0,00;0,09;0,00
