Land;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH
Zahl der Prüfungen;49.671;74.205;13.115;7.376;3.402;8.191;23.883;3.475;49.274;79.240;16.138;3.353;7.988;4.551;11.054;5.102
- bestanden;48.333;72.750;12.428;7.111;3.251;7.826;23.169;3.327;47.507;77.847;15.914;3.269;7.673;4.309;10.785;5.030
- nicht bestanden (abs.);1.338;1.455;687;265;151;365;714;148;1.767;1.393;224;84;315;242;269;72
- nicht bestanden (%);2,7;2,0;5,2;3,6;4,4;4,5;3,0;4,3;3,6;1,8;1,4;2,5;3,9;5,3;2,4;1,4
Notenmittel;2,44;2,37;2,45;2,38;2,47;2,49;2,43;2,42;2,59;2,54;2,60;2,44;2,43;2,48;2,52;2,20
Note;Häufigkeit;;;;;;;;;;;;;;;
1,0;658;924;169;136;58;95;318;46;288;970;135;47;85;48;94;118
1,1;430;704;109;95;36;69;260;35;234;722;149;31;68;38;56;98
1,2;587;1.020;147;128;44;88;328;51;342;853;129;40;66;57;89;122
1,3;774;1.396;221;166;76;108;385;57;473;1.168;161;57;130;60;104;140
1,4;931;1.627;226;166;69;144;474;76;641;1.354;212;66;143;78;143;176
1,5;1.178;2.072;305;175;72;185;597;102;818;1.717;304;62;199;109;231;192
1,6;1.367;2.372;309;205;99;209;668;94;888;2.018;329;96;210;125;241;211
1,7;1.622;2.899;393;274;93;214;798;100;1.232;2.227;406;96;254;138;311;242
1,8;1.803;3.049;431;276;118;272;849;123;1.307;2.503;469;105;302;141;315;237
1,9;2.057;3.577;485;298;114;325;881;129;1.494;2.694;460;131;333;167;400;275
2,0;2.127;3.385;505;314;137;320;946;159;1.641;2.809;587;130;341;174;388;271
2,1;2.228;3.872;571;332;151;315;1.080;140;1.879;3.143;575;158;364;195;476;273
2,2;2.495;4.098;604;352;125;318;1.105;175;2.062;3.507;697;148;423;216;581;283
2,3;2.600;4.116;630;356;139;394;1.207;175;2.212;3.605;717;174;369;210;583;270
2,4;2.647;4.200;732;324;145;413;1.200;156;2.411;3.573;711;208;438;209;610;275
2,5;2.766;4.235;722;394;170;440;1.379;190;2.573;3.945;814;173;441;213;694;275
2,6;2.752;4.119;715;367;157;440;1.320;201;2.860;4.097;867;184;474;242;649;268
2,7;2.616;3.966;757;431;180;442;1.364;189;2.845;4.384;945;194;413;229;667;231
2,8;2.705;3.680;773;376;194;459;1.316;186;2.995;4.387;963;211;437;252;692;243
2,9;2.591;3.515;705;376;158;457;1.190;174;3.135;4.111;911;186;418;236;662;192
3,0;2.418;3.158;681;357;185;449;1.165;178;2.961;4.259;970;191;427;240;604;170
3,1;2.215;2.725;627;323;172;420;1.145;167;2.860;4.072;936;176;368;262;601;142
3,2;2.067;2.425;550;317;160;394;1.026;137;2.648;4.046;934;141;341;219;527;119
3,3;1.758;1.956;466;248;143;304;795;129;2.467;3.628;802;120;277;191;385;92
3,4;1.374;1.448;298;161;121;258;602;81;1.978;2.895;722;76;172;121;338;64
3,5;903;1.026;180;102;74;158;431;41;1.337;2.478;506;38;126;92;191;37
3,6;473;631;85;45;34;95;216;21;673;1.593;311;22;42;39;92;10
3,7;162;378;25;12;16;31;103;14;212;804;139;8;10;8;40;4
3,8;26;107;7;4;7;9;18;1;38;229;36;0;2;0;10;0
3,9;3;44;0;1;1;1;3;0;2;40;3;0;0;0;1;0
4,0;0;26;0;0;3;0;0;0;1;16;14;0;0;0;10;0
