Land;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH
Zahl der Prüfungen;45.903;39.144;14.371;9.453;2.762;9.326;23.229;5.433;10.471;83.308;16.867;3.366;12.935;5.676;13.061;6.640
- bestanden;44.975;38.104;13.866;9.023;2.644;9.077;22.391;5.103;9.884;80.733;16.359;3.277;12.536;5.676;12.446;6.534
- nicht bestanden (abs.);928;1.040;505;430;118;249;838;330;587;2.575;508;89;399;0;615;106
- nicht bestanden (%);2,0;2,7;3,5;4,5;4,3;2,7;3,6;6,1;5,6;3,1;3,0;2,6;3,1;0,0;4,7;1,6
Notenmittel;2,38;2,29;2,35;2,28;2,40;2,36;2,33;2,34;2,67;2,43;2,48;2,37;2,20;2,33;2,52;2,16
Note;Häufigkeit;;;;;;;;;;;;;;;
1,0;1.010;883;337;231;62;194;650;131;56;1.780;215;89;366;140;160;212
1,1;563;598;220;128;37;138;379;69;36;1.041;166;51;212;68;102;144
1,2;784;745;273;160;45;155;447;82;57;1.395;215;57;253;104;152;170
1,3;959;917;319;215;63;215;503;144;70;1.590;266;68;362;119;180;192
1,4;1.080;1.072;395;257;66;226;668;136;92;1.861;319;87;423;144;210;239
1,5;1.246;1.166;442;309;84;264;716;132;143;2.100;400;93;491;182;254;275
1,6;1.519;1.421;429;319;70;291;763;162;138;2.446;463;102;518;168;325;290
1,7;1.498;1.515;544;351;76;311;840;185;192;2.587;502;113;558;222;352;314
1,8;1.786;1.688;544;408;107;382;920;212;250;2.823;548;108;596;243;384;317
1,9;1.865;1.838;610;442;106;392;967;220;281;3.257;641;133;663;264;433;372
2,0;1.940;1.775;578;426;91;381;990;219;289;3.148;680;124;704;269;453;331
2,1;2.056;1.927;623;455;109;409;1.022;276;360;3.520;670;146;696;274;514;372
2,2;2.224;2.040;636;470;108;452;1.068;251;389;3.641;708;154;711;266;511;344
2,3;2.315;2.138;699;513;135;468;1.132;260;400;3.684;796;161;732;327;582;357
2,4;2.440;2.059;727;543;148;477;1.191;294;485;4.086;825;177;673;334;664;371
2,5;2.469;2.061;700;470;140;469;1.199;251;474;4.109;843;191;674;301;670;352
2,6;2.489;2.078;680;487;141;478;1.115;260;584;4.188;842;175;683;315;713;314
2,7;2.369;2.034;763;504;157;505;1.146;283;594;4.181;919;198;604;284;716;304
2,8;2.350;1.976;743;485;145;481;1.122;261;615;4.248;894;180;567;292;750;278
2,9;2.305;1.748;711;464;140;456;1.050;257;688;4.258;867;173;535;278;771;267
3,0;1.967;1.569;676;380;129;435;939;212;650;3.978;883;146;442;272;745;191
3,1;1.912;1.458;538;348;127;412;939;235;700;3.957;882;158;374;265;667;196
3,2;1.724;1.191;540;271;102;330;794;210;630;3.633;778;153;297;225;621;132
3,3;1.482;912;458;199;99;309;666;173;631;3.162;697;116;200;160;547;116
3,4;1.184;629;334;111;62;205;520;93;476;2.597;603;71;134;103;430;53
3,5;829;384;206;60;56;156;323;73;342;1.853;382;36;43;44;282;18
3,6;428;197;112;15;22;63;194;19;179;1.109;244;16;20;13;169;9
3,7;133;68;24;2;13;20;87;3;70;382;75;1;5;0;65;4
3,8;34;10;4;0;3;3;22;0;12;88;23;0;0;0;20;0
3,9;8;5;1;0;0;0;11;0;1;13;9;0;0;0;2;0
4,0;7;2;0;0;1;0;8;0;0;18;4;0;0;0;2;0
